Score for 5UOI from PDB, mean: 1.5336, std: 0.0244, sample size: 5,  global score, mean: 1.5336, std: 0.0244, sample size: 5
Score for 5UOI_33 from FASTA, mean: 1.1205, std: 0.0196, sample size: 5,  global score, mean: 1.1205, std: 0.0196, sample size: 5
Score for 5UOI_34 from FASTA, mean: 1.0999, std: 0.0081, sample size: 5,  global score, mean: 1.0999, std: 0.0081, sample size: 5
Score for 5UOI_35 from FASTA, mean: 1.0834, std: 0.0097, sample size: 5,  global score, mean: 1.0834, std: 0.0097, sample size: 5
Score for 5UOI_36 from FASTA, mean: 1.0872, std: 0.0185, sample size: 5,  global score, mean: 1.0872, std: 0.0185, sample size: 5
Score for 5UOI_37 from FASTA, mean: 1.0746, std: 0.0197, sample size: 5,  global score, mean: 1.0746, std: 0.0197, sample size: 5
Score for 5UOI_38 from FASTA, mean: 1.1638, std: 0.0224, sample size: 5,  global score, mean: 1.1638, std: 0.0224, sample size: 5
Score for 5UOI_39 from FASTA, mean: 1.0802, std: 0.0163, sample size: 5,  global score, mean: 1.0802, std: 0.0163, sample size: 5
Score for 5UOI_40 from FASTA, mean: 1.0877, std: 0.0304, sample size: 5,  global score, mean: 1.0877, std: 0.0304, sample size: 5
Score for 5UOI_41 from FASTA, mean: 1.1079, std: 0.0227, sample size: 5,  global score, mean: 1.1079, std: 0.0227, sample size: 5
Score for 5UOI_42 from FASTA, mean: 1.1079, std: 0.0131, sample size: 5,  global score, mean: 1.1079, std: 0.0131, sample size: 5
Score for 5UOI_43 from FASTA, mean: 1.1186, std: 0.0159, sample size: 5,  global score, mean: 1.1186, std: 0.0159, sample size: 5
Score for 5UOI_44 from FASTA, mean: 1.1131, std: 0.0151, sample size: 5,  global score, mean: 1.1131, std: 0.0151, sample size: 5
Score for 5UOI_45 from FASTA, mean: 1.0865, std: 0.0128, sample size: 5,  global score, mean: 1.0865, std: 0.0128, sample size: 5
Score for 5UOI_46 from FASTA, mean: 1.1090, std: 0.0145, sample size: 5,  global score, mean: 1.1090, std: 0.0145, sample size: 5
Score for 5UOI_47 from FASTA, mean: 1.0868, std: 0.0084, sample size: 5,  global score, mean: 1.0868, std: 0.0084, sample size: 5
Score for 5UOI_48 from FASTA, mean: 1.1015, std: 0.0192, sample size: 5,  global score, mean: 1.1015, std: 0.0192, sample size: 5
Score for 5UOI_49 from FASTA, mean: 1.0920, std: 0.0187, sample size: 5,  global score, mean: 1.0920, std: 0.0187, sample size: 5
Score for 5UOI_50 from FASTA, mean: 1.1024, std: 0.0090, sample size: 5,  global score, mean: 1.1024, std: 0.0090, sample size: 5
Score for 5UOI_51 from FASTA, mean: 1.1060, std: 0.0259, sample size: 5,  global score, mean: 1.1060, std: 0.0259, sample size: 5
Score for 5UOI_52 from FASTA, mean: 1.0980, std: 0.0148, sample size: 5,  global score, mean: 1.0980, std: 0.0148, sample size: 5
Score for 5UOI_53 from FASTA, mean: 1.0942, std: 0.0201, sample size: 5,  global score, mean: 1.0942, std: 0.0201, sample size: 5
Score for 5UOI_54 from FASTA, mean: 1.1045, std: 0.0237, sample size: 5,  global score, mean: 1.1045, std: 0.0237, sample size: 5
Score for 5UOI_55 from FASTA, mean: 1.1209, std: 0.0170, sample size: 5,  global score, mean: 1.1209, std: 0.0170, sample size: 5
Score for 5UOI_56 from FASTA, mean: 1.1123, std: 0.0084, sample size: 5,  global score, mean: 1.1123, std: 0.0084, sample size: 5
Score for 5UOI_57 from FASTA, mean: 1.1008, std: 0.0151, sample size: 5,  global score, mean: 1.1008, std: 0.0151, sample size: 5
Score for 5UOI_58 from FASTA, mean: 1.0775, std: 0.0142, sample size: 5,  global score, mean: 1.0775, std: 0.0142, sample size: 5
Score for 5UOI_59 from FASTA, mean: 1.1232, std: 0.0172, sample size: 5,  global score, mean: 1.1232, std: 0.0172, sample size: 5
Score for 5UOI_60 from FASTA, mean: 1.1194, std: 0.0130, sample size: 5,  global score, mean: 1.1194, std: 0.0130, sample size: 5
Score for 5UOI_61 from FASTA, mean: 1.0843, std: 0.0073, sample size: 5,  global score, mean: 1.0843, std: 0.0073, sample size: 5
Score for 5UOI_62 from FASTA, mean: 1.1080, std: 0.0140, sample size: 5,  global score, mean: 1.1080, std: 0.0140, sample size: 5
Score for 5UOI_63 from FASTA, mean: 1.0891, std: 0.0129, sample size: 5,  global score, mean: 1.0891, std: 0.0129, sample size: 5
Score for 5UOI_64 from FASTA, mean: 1.0832, std: 0.0269, sample size: 5,  global score, mean: 1.0832, std: 0.0269, sample size: 5
Score for 5UOI_65 from FASTA, mean: 1.1070, std: 0.0148, sample size: 5,  global score, mean: 1.1070, std: 0.0148, sample size: 5
Score for 5UOI_66 from FASTA, mean: 1.0880, std: 0.0053, sample size: 5,  global score, mean: 1.0880, std: 0.0053, sample size: 5
Score for 5UOI_67 from FASTA, mean: 1.0922, std: 0.0172, sample size: 5,  global score, mean: 1.0922, std: 0.0172, sample size: 5
Score for 5UOI_68 from FASTA, mean: 1.1141, std: 0.0158, sample size: 5,  global score, mean: 1.1141, std: 0.0158, sample size: 5
Score for 5UOI_69 from FASTA, mean: 1.0598, std: 0.0168, sample size: 5,  global score, mean: 1.0598, std: 0.0168, sample size: 5
Score for 5UOI_70 from FASTA, mean: 1.0800, std: 0.0043, sample size: 5,  global score, mean: 1.0800, std: 0.0043, sample size: 5
Score for 5UOI_71 from FASTA, mean: 1.0747, std: 0.0117, sample size: 5,  global score, mean: 1.0747, std: 0.0117, sample size: 5
Score for 5UOI_72 from FASTA, mean: 1.1159, std: 0.0118, sample size: 5,  global score, mean: 1.1159, std: 0.0118, sample size: 5
Score for 5UOI_73 from FASTA, mean: 1.0763, std: 0.0393, sample size: 5,  global score, mean: 1.0763, std: 0.0393, sample size: 5
Score for 5UOI_74 from FASTA, mean: 1.1161, std: 0.0161, sample size: 5,  global score, mean: 1.1161, std: 0.0161, sample size: 5
Score for 5UOI_75 from FASTA, mean: 1.0896, std: 0.0354, sample size: 5,  global score, mean: 1.0896, std: 0.0354, sample size: 5
Score for 5UOI_76 from FASTA, mean: 1.1147, std: 0.0070, sample size: 5,  global score, mean: 1.1147, std: 0.0070, sample size: 5
Score for 5UOI_77 from FASTA, mean: 1.1188, std: 0.0060, sample size: 5,  global score, mean: 1.1188, std: 0.0060, sample size: 5
Score for 5UOI_78 from FASTA, mean: 1.1118, std: 0.0061, sample size: 5,  global score, mean: 1.1118, std: 0.0061, sample size: 5
Score for 5UOI_79 from FASTA, mean: 1.1013, std: 0.0222, sample size: 5,  global score, mean: 1.1013, std: 0.0222, sample size: 5
Score for 5UOI_80 from FASTA, mean: 1.0815, std: 0.0092, sample size: 5,  global score, mean: 1.0815, std: 0.0092, sample size: 5
Score for 5UOI_81 from FASTA, mean: 1.0847, std: 0.0106, sample size: 5,  global score, mean: 1.0847, std: 0.0106, sample size: 5
Score for 5UOI_82 from FASTA, mean: 1.1028, std: 0.0184, sample size: 5,  global score, mean: 1.1028, std: 0.0184, sample size: 5
Score for 5UOI_83 from FASTA, mean: 1.1375, std: 0.0137, sample size: 5,  global score, mean: 1.1375, std: 0.0137, sample size: 5
Score for 5UOI_84 from FASTA, mean: 1.0779, std: 0.0312, sample size: 5,  global score, mean: 1.0779, std: 0.0312, sample size: 5
Score for 5UOI_85 from FASTA, mean: 1.1360, std: 0.0242, sample size: 5,  global score, mean: 1.1360, std: 0.0242, sample size: 5
Score for 5UOI_86 from FASTA, mean: 1.1066, std: 0.0203, sample size: 5,  global score, mean: 1.1066, std: 0.0203, sample size: 5
Score for 5UOI_87 from FASTA, mean: 1.0922, std: 0.0255, sample size: 5,  global score, mean: 1.0922, std: 0.0255, sample size: 5
Score for 5UOI_88 from FASTA, mean: 1.1080, std: 0.0180, sample size: 5,  global score, mean: 1.1080, std: 0.0180, sample size: 5
Score for 5UOI_89 from FASTA, mean: 1.1326, std: 0.0169, sample size: 5,  global score, mean: 1.1326, std: 0.0169, sample size: 5
Score for 5UOI_90 from FASTA, mean: 1.1236, std: 0.0267, sample size: 5,  global score, mean: 1.1236, std: 0.0267, sample size: 5
Score for 5UOI_91 from FASTA, mean: 1.0791, std: 0.0154, sample size: 5,  global score, mean: 1.0791, std: 0.0154, sample size: 5
Score for 5UOI_92 from FASTA, mean: 1.1180, std: 0.0086, sample size: 5,  global score, mean: 1.1180, std: 0.0086, sample size: 5
Score for 5UOI_93 from FASTA, mean: 1.1022, std: 0.0102, sample size: 5,  global score, mean: 1.1022, std: 0.0102, sample size: 5
Score for 5UOI_94 from FASTA, mean: 1.1388, std: 0.0211, sample size: 5,  global score, mean: 1.1388, std: 0.0211, sample size: 5
Score for 5UOI_95 from FASTA, mean: 1.0822, std: 0.0146, sample size: 5,  global score, mean: 1.0822, std: 0.0146, sample size: 5
Score for 5UOI_96 from FASTA, mean: 1.1003, std: 0.0093, sample size: 5,  global score, mean: 1.1003, std: 0.0093, sample size: 5
Score for 5UOI_97 from FASTA, mean: 1.0960, std: 0.0193, sample size: 5,  global score, mean: 1.0960, std: 0.0193, sample size: 5
Score for 5UOI_98 from FASTA, mean: 1.0858, std: 0.0109, sample size: 5,  global score, mean: 1.0858, std: 0.0109, sample size: 5
Score for 5UOI_99 from FASTA, mean: 1.1119, std: 0.0263, sample size: 5,  global score, mean: 1.1119, std: 0.0263, sample size: 5
Score for 5UOI_100 from FASTA, mean: 1.0983, std: 0.0223, sample size: 5,  global score, mean: 1.0983, std: 0.0223, sample size: 5
Score for 5UOI_101 from FASTA, mean: 1.1080, std: 0.0137, sample size: 5,  global score, mean: 1.1080, std: 0.0137, sample size: 5
