Score for 5UOI from PDB, mean: 1.5336, std: 0.0244, sample size: 5,  global score, mean: 1.5336, std: 0.0244, sample size: 5
Score for 5UOI_30 from FASTA, mean: 1.1376, std: 0.0125, sample size: 5,  global score, mean: 1.1376, std: 0.0125, sample size: 5
Score for 5UOI_31 from FASTA, mean: 1.1294, std: 0.0330, sample size: 5,  global score, mean: 1.1294, std: 0.0330, sample size: 5
Score for 5UOI_32 from FASTA, mean: 1.1414, std: 0.0181, sample size: 5,  global score, mean: 1.1414, std: 0.0181, sample size: 5
Score for 5UOI_33 from FASTA, mean: 1.1385, std: 0.0330, sample size: 5,  global score, mean: 1.1385, std: 0.0330, sample size: 5
Score for 5UOI_34 from FASTA, mean: 1.1538, std: 0.0142, sample size: 5,  global score, mean: 1.1538, std: 0.0142, sample size: 5
Score for 5UOI_35 from FASTA, mean: 1.0876, std: 0.0244, sample size: 5,  global score, mean: 1.0876, std: 0.0244, sample size: 5
Score for 5UOI_36 from FASTA, mean: 1.1462, std: 0.0267, sample size: 5,  global score, mean: 1.1462, std: 0.0267, sample size: 5
Score for 5UOI_37 from FASTA, mean: 1.1370, std: 0.0242, sample size: 5,  global score, mean: 1.1370, std: 0.0242, sample size: 5
Score for 5UOI_38 from FASTA, mean: 1.1142, std: 0.0102, sample size: 5,  global score, mean: 1.1142, std: 0.0102, sample size: 5
Score for 5UOI_39 from FASTA, mean: 1.1418, std: 0.0250, sample size: 5,  global score, mean: 1.1418, std: 0.0250, sample size: 5
Score for 5UOI_40 from FASTA, mean: 1.1301, std: 0.0275, sample size: 5,  global score, mean: 1.1301, std: 0.0275, sample size: 5
Score for 5UOI_41 from FASTA, mean: 1.1237, std: 0.0182, sample size: 5,  global score, mean: 1.1237, std: 0.0182, sample size: 5
Score for 5UOI_42 from FASTA, mean: 1.0987, std: 0.0189, sample size: 5,  global score, mean: 1.0987, std: 0.0189, sample size: 5
Score for 5UOI_43 from FASTA, mean: 1.1047, std: 0.0070, sample size: 5,  global score, mean: 1.1047, std: 0.0070, sample size: 5
Score for 5UOI_44 from FASTA, mean: 1.1104, std: 0.0184, sample size: 5,  global score, mean: 1.1104, std: 0.0184, sample size: 5
Score for 5UOI_45 from FASTA, mean: 1.1394, std: 0.0235, sample size: 5,  global score, mean: 1.1394, std: 0.0235, sample size: 5
Score for 5UOI_46 from FASTA, mean: 1.1564, std: 0.0156, sample size: 5,  global score, mean: 1.1564, std: 0.0156, sample size: 5
Score for 5UOI_47 from FASTA, mean: 1.1704, std: 0.0341, sample size: 5,  global score, mean: 1.1704, std: 0.0341, sample size: 5
Score for 5UOI_48 from FASTA, mean: 1.1265, std: 0.0369, sample size: 5,  global score, mean: 1.1265, std: 0.0369, sample size: 5
Score for 5UOI_49 from FASTA, mean: 1.1380, std: 0.0205, sample size: 5,  global score, mean: 1.1380, std: 0.0205, sample size: 5
Score for 5UOI_50 from FASTA, mean: 1.1355, std: 0.0059, sample size: 5,  global score, mean: 1.1355, std: 0.0059, sample size: 5
Score for 5UOI_51 from FASTA, mean: 1.1213, std: 0.0246, sample size: 5,  global score, mean: 1.1213, std: 0.0246, sample size: 5
Score for 5UOI_52 from FASTA, mean: 1.1581, std: 0.0183, sample size: 5,  global score, mean: 1.1581, std: 0.0183, sample size: 5
Score for 5UOI_53 from FASTA, mean: 1.1296, std: 0.0277, sample size: 5,  global score, mean: 1.1296, std: 0.0277, sample size: 5
Score for 5UOI_54 from FASTA, mean: 1.1261, std: 0.0091, sample size: 5,  global score, mean: 1.1261, std: 0.0091, sample size: 5
Score for 5UOI_55 from FASTA, mean: 1.1368, std: 0.0165, sample size: 5,  global score, mean: 1.1368, std: 0.0165, sample size: 5
Score for 5UOI_56 from FASTA, mean: 1.1696, std: 0.0226, sample size: 5,  global score, mean: 1.1696, std: 0.0226, sample size: 5
Score for 5UOI_57 from FASTA, mean: 1.1361, std: 0.0154, sample size: 5,  global score, mean: 1.1361, std: 0.0154, sample size: 5
Score for 5UOI_58 from FASTA, mean: 1.1385, std: 0.0449, sample size: 5,  global score, mean: 1.1385, std: 0.0449, sample size: 5
Score for 5UOI_59 from FASTA, mean: 1.1319, std: 0.0258, sample size: 5,  global score, mean: 1.1319, std: 0.0258, sample size: 5
Score for 5UOI_60 from FASTA, mean: 1.1335, std: 0.0174, sample size: 5,  global score, mean: 1.1335, std: 0.0174, sample size: 5
Score for 5UOI_61 from FASTA, mean: 1.1167, std: 0.0120, sample size: 5,  global score, mean: 1.1167, std: 0.0120, sample size: 5
Score for 5UOI_62 from FASTA, mean: 1.1171, std: 0.0239, sample size: 5,  global score, mean: 1.1171, std: 0.0239, sample size: 5
Score for 5UOI_63 from FASTA, mean: 1.1573, std: 0.0332, sample size: 5,  global score, mean: 1.1573, std: 0.0332, sample size: 5
Score for 5UOI_64 from FASTA, mean: 1.1278, std: 0.0207, sample size: 5,  global score, mean: 1.1278, std: 0.0207, sample size: 5
Score for 5UOI_65 from FASTA, mean: 1.1512, std: 0.0333, sample size: 5,  global score, mean: 1.1512, std: 0.0333, sample size: 5
Score for 5UOI_66 from FASTA, mean: 1.1322, std: 0.0115, sample size: 5,  global score, mean: 1.1322, std: 0.0115, sample size: 5
Score for 5UOI_67 from FASTA, mean: 1.1112, std: 0.0105, sample size: 5,  global score, mean: 1.1112, std: 0.0105, sample size: 5
Score for 5UOI_68 from FASTA, mean: 1.1119, std: 0.0085, sample size: 5,  global score, mean: 1.1119, std: 0.0085, sample size: 5
Score for 5UOI_69 from FASTA, mean: 1.1284, std: 0.0117, sample size: 5,  global score, mean: 1.1284, std: 0.0117, sample size: 5
Score for 5UOI_70 from FASTA, mean: 1.1369, std: 0.0249, sample size: 5,  global score, mean: 1.1369, std: 0.0249, sample size: 5
Score for 5UOI_71 from FASTA, mean: 1.1408, std: 0.0277, sample size: 5,  global score, mean: 1.1408, std: 0.0277, sample size: 5
Score for 5UOI_72 from FASTA, mean: 1.1298, std: 0.0337, sample size: 5,  global score, mean: 1.1298, std: 0.0337, sample size: 5
Score for 5UOI_73 from FASTA, mean: 1.0894, std: 0.0144, sample size: 5,  global score, mean: 1.0894, std: 0.0144, sample size: 5
Score for 5UOI_74 from FASTA, mean: 1.1459, std: 0.0185, sample size: 5,  global score, mean: 1.1459, std: 0.0185, sample size: 5
Score for 5UOI_75 from FASTA, mean: 1.1374, std: 0.0178, sample size: 5,  global score, mean: 1.1374, std: 0.0178, sample size: 5
Score for 5UOI_76 from FASTA, mean: 1.1457, std: 0.0167, sample size: 5,  global score, mean: 1.1457, std: 0.0167, sample size: 5
Score for 5UOI_77 from FASTA, mean: 1.1600, std: 0.0265, sample size: 5,  global score, mean: 1.1600, std: 0.0265, sample size: 5
Score for 5UOI_78 from FASTA, mean: 1.1676, std: 0.0195, sample size: 5,  global score, mean: 1.1676, std: 0.0195, sample size: 5
Score for 5UOI_79 from FASTA, mean: 1.1256, std: 0.0325, sample size: 5,  global score, mean: 1.1256, std: 0.0325, sample size: 5
Score for 5UOI_80 from FASTA, mean: 1.1244, std: 0.0281, sample size: 5,  global score, mean: 1.1244, std: 0.0281, sample size: 5
Score for 5UOI_81 from FASTA, mean: 1.0863, std: 0.0253, sample size: 5,  global score, mean: 1.0863, std: 0.0253, sample size: 5
Score for 5UOI_82 from FASTA, mean: 1.0972, std: 0.0147, sample size: 5,  global score, mean: 1.0972, std: 0.0147, sample size: 5
Score for 5UOI_83 from FASTA, mean: 1.1175, std: 0.0246, sample size: 5,  global score, mean: 1.1175, std: 0.0246, sample size: 5
Score for 5UOI_84 from FASTA, mean: 1.1407, std: 0.0378, sample size: 5,  global score, mean: 1.1407, std: 0.0378, sample size: 5
Score for 5UOI_85 from FASTA, mean: 1.1459, std: 0.0176, sample size: 5,  global score, mean: 1.1459, std: 0.0176, sample size: 5
Score for 5UOI_86 from FASTA, mean: 1.1445, std: 0.0203, sample size: 5,  global score, mean: 1.1445, std: 0.0203, sample size: 5
Score for 5UOI_87 from FASTA, mean: 1.0968, std: 0.0173, sample size: 5,  global score, mean: 1.0968, std: 0.0173, sample size: 5
Score for 5UOI_88 from FASTA, mean: 1.1599, std: 0.0194, sample size: 5,  global score, mean: 1.1599, std: 0.0194, sample size: 5
Score for 5UOI_89 from FASTA, mean: 1.1344, std: 0.0195, sample size: 5,  global score, mean: 1.1344, std: 0.0195, sample size: 5
Score for 5UOI_90 from FASTA, mean: 1.0989, std: 0.0109, sample size: 5,  global score, mean: 1.0989, std: 0.0109, sample size: 5
Score for 5UOI_91 from FASTA, mean: 1.1720, std: 0.0153, sample size: 5,  global score, mean: 1.1720, std: 0.0153, sample size: 5
Score for 5UOI_92 from FASTA, mean: 1.1945, std: 0.0193, sample size: 5,  global score, mean: 1.1945, std: 0.0193, sample size: 5
Score for 5UOI_93 from FASTA, mean: 1.1295, std: 0.0225, sample size: 5,  global score, mean: 1.1295, std: 0.0225, sample size: 5
Score for 5UOI_94 from FASTA, mean: 1.1202, std: 0.0217, sample size: 5,  global score, mean: 1.1202, std: 0.0217, sample size: 5
Score for 5UOI_95 from FASTA, mean: 1.1421, std: 0.0250, sample size: 5,  global score, mean: 1.1421, std: 0.0250, sample size: 5
Score for 5UOI_96 from FASTA, mean: 1.1766, std: 0.0249, sample size: 5,  global score, mean: 1.1766, std: 0.0249, sample size: 5
Score for 5UOI_97 from FASTA, mean: 1.1712, std: 0.0289, sample size: 5,  global score, mean: 1.1712, std: 0.0289, sample size: 5
Score for 5UOI_98 from FASTA, mean: 1.1660, std: 0.0207, sample size: 5,  global score, mean: 1.1660, std: 0.0207, sample size: 5
Score for 5UOI_99 from FASTA, mean: 1.1412, std: 0.0186, sample size: 5,  global score, mean: 1.1412, std: 0.0186, sample size: 5
Score for 5UOI_100 from FASTA, mean: 1.1342, std: 0.0158, sample size: 5,  global score, mean: 1.1342, std: 0.0158, sample size: 5
Score for 5UOI_101 from FASTA, mean: 1.1309, std: 0.0238, sample size: 5,  global score, mean: 1.1309, std: 0.0238, sample size: 5
