Sequence,Mean Score,Std Dev,Sample Size,Global Mean,Global Std,Global Sample Size
5UOI_60,1.1335,0.0174,5,1.1335,0.0174,5
5UOI_22,1.1339,0.0201,5,1.1339,0.0201,5
5UOI_100,1.1342,0.0158,5,1.1342,0.0158,5
5UOI_89,1.1344,0.0195,5,1.1344,0.0195,5
5UOI_50,1.1355,0.0059,5,1.1355,0.0059,5
5UOI_57,1.1361,0.0154,5,1.1361,0.0154,5
5UOI_55,1.1368,0.0165,5,1.1368,0.0165,5
5UOI_21,1.1369,0.023,5,1.1369,0.023,5
5UOI_70,1.1369,0.0249,5,1.1369,0.0249,5
5UOI_37,1.137,0.0242,5,1.137,0.0242,5
5UOI_75,1.1374,0.0178,5,1.1374,0.0178,5
5UOI_15,1.1375,0.0295,5,1.1375,0.0295,5
5UOI_30,1.1376,0.0125,5,1.1376,0.0125,5
5UOI_49,1.138,0.0205,5,1.138,0.0205,5
5UOI_14,1.1383,0.0253,5,1.1383,0.0253,5
5UOI_58,1.1385,0.0449,5,1.1385,0.0449,5
5UOI_33,1.1385,0.033,5,1.1385,0.033,5
5UOI_25,1.1388,0.0177,5,1.1388,0.0177,5
5UOI_45,1.1394,0.0235,5,1.1394,0.0235,5
5UOI_28,1.14,0.0106,5,1.14,0.0106,5
5UOI_84,1.1407,0.0378,5,1.1407,0.0378,5
5UOI_71,1.1408,0.0277,5,1.1408,0.0277,5
5UOI_99,1.1412,0.0186,5,1.1412,0.0186,5
5UOI_32,1.1414,0.0181,5,1.1414,0.0181,5
5UOI_39,1.1418,0.025,5,1.1418,0.025,5
5UOI_27,1.142,0.0056,5,1.142,0.0056,5
5UOI_95,1.1421,0.025,5,1.1421,0.025,5
5UOI_18,1.1426,0.0065,5,1.1426,0.0065,5
5UOI_86,1.1445,0.0203,5,1.1445,0.0203,5
5UOI_26,1.1447,0.0205,5,1.1447,0.0205,5
5UOI_76,1.1457,0.0167,5,1.1457,0.0167,5
5UOI_74,1.1459,0.0185,5,1.1459,0.0185,5
5UOI_85,1.1459,0.0176,5,1.1459,0.0176,5
5UOI_36,1.1462,0.0267,5,1.1462,0.0267,5
5UOI_65,1.1512,0.0333,5,1.1512,0.0333,5
5UOI_16,1.1521,0.0125,5,1.1521,0.0125,5
5UOI_34,1.1538,0.0142,5,1.1538,0.0142,5
5UOI_11,1.1543,0.0334,5,1.1543,0.0334,5
5UOI_46,1.1564,0.0156,5,1.1564,0.0156,5
5UOI_63,1.1573,0.0332,5,1.1573,0.0332,5
5UOI_3,1.1574,0.0218,5,1.1574,0.0218,5
5UOI_52,1.1581,0.0183,5,1.1581,0.0183,5
5UOI_6,1.1582,0.0235,5,1.1582,0.0235,5
5UOI_88,1.1599,0.0194,5,1.1599,0.0194,5
5UOI_77,1.16,0.0265,5,1.16,0.0265,5
5UOI_7,1.1601,0.0143,5,1.1601,0.0143,5
5UOI_13,1.1631,0.0237,5,1.1631,0.0237,5
5UOI_98,1.166,0.0207,5,1.166,0.0207,5
5UOI_78,1.1676,0.0195,5,1.1676,0.0195,5
5UOI_19,1.1682,0.0078,5,1.1682,0.0078,5
5UOI_56,1.1696,0.0226,5,1.1696,0.0226,5
5UOI_47,1.1704,0.0341,5,1.1704,0.0341,5
5UOI_97,1.1712,0.0289,5,1.1712,0.0289,5
5UOI_91,1.172,0.0153,5,1.172,0.0153,5
5UOI_10,1.1737,0.0204,5,1.1737,0.0204,5
5UOI_96,1.1766,0.0249,5,1.1766,0.0249,5
5UOI_92,1.1945,0.0193,5,1.1945,0.0193,5
5UOI,1.5336,0.0244,5,1.5336,0.0244,5
